epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.3465,1.75851,4.16716,1.45449,0.02125,0.33016,0.11277,0.07827,1.14384,4.09027,1.05434,0.000137308,0.000137308,0.000137308
2,144.202,1.78893,3.65972,1.4304,0.02745,0.31244,0.13085,0.06664,1.5574,3.93353,1.26607,0.000275486,0.000275486,0.000275486
3,221.859,1.89147,3.09183,1.41565,0.81756,0.13847,0.17527,0.08802,1.78053,2.9199,1.46468,0.000408952,0.000408952,0.000408952
4,285.422,1.76642,2.84504,1.377,0.81868,0.20402,0.17551,0.10506,1.53668,2.71172,1.37939,0.000537705,0.000537705,0.000537705
5,397.83,1.70726,2.63975,1.42328,0.66361,0.23763,0.17014,0.09884,1.41374,3.33993,1.35877,0.000661746,0.000661746,0.000661746
6,1283.3,1.63353,2.71666,1.38375,0.72706,0.23217,0.21152,0.11588,1.43772,2.88698,1.36802,0.000655095,0.000655095,0.000655095
7,1346.58,1.59922,2.44515,1.3237,0.69007,0.22469,0.21615,0.11152,1.51879,2.7472,1.41198,0.000643314,0.000643314,0.000643314
8,1407.91,1.57919,2.42469,1.36008,0.67298,0.34072,0.24226,0.12091,1.59532,2.75421,1.47794,0.000631533,0.000631533,0.000631533
9,1491.47,1.63909,2.35898,1.33482,0.77085,0.30521,0.28106,0.14805,1.57347,2.63144,1.45682,0.000619752,0.000619752,0.000619752
10,1583.03,1.65859,2.27966,1.38489,0.80255,0.26437,0.30543,0.16127,1.55951,2.64354,1.43859,0.000607971,0.000607971,0.000607971
11,1660.85,1.60682,2.28314,1.33991,0.78088,0.26206,0.26402,0.13768,1.50348,2.74138,1.41542,0.00059619,0.00059619,0.00059619
12,1742.38,1.58717,2.23657,1.33938,0.77937,0.30155,0.26583,0.13709,1.57479,2.72301,1.4877,0.000584409,0.000584409,0.000584409
13,1822.97,1.60449,2.30808,1.43621,0.73067,0.26757,0.28428,0.15216,1.57949,2.50215,1.47981,0.000572628,0.000572628,0.000572628
14,1904.9,1.56369,2.16569,1.37006,0.65887,0.28298,0.30441,0.16594,1.46589,2.31093,1.40345,0.000560847,0.000560847,0.000560847
15,1983.39,1.65884,2.19598,1.3938,0.53516,0.27148,0.30568,0.17004,1.45082,2.25788,1.40469,0.000549066,0.000549066,0.000549066
16,2060.69,1.67971,2.22765,1.39779,0.58829,0.29221,0.31604,0.16137,1.62408,2.37257,1.49249,0.000537285,0.000537285,0.000537285
17,2139.8,1.60688,2.19523,1.36369,0.62055,0.37572,0.34854,0.16112,1.71429,2.45331,1.54291,0.000525504,0.000525504,0.000525504
18,2218.99,1.57508,2.05,1.32201,0.76744,0.28485,0.3531,0.18746,1.66981,2.34082,1.49941,0.000513723,0.000513723,0.000513723
19,2295.34,1.53269,2.0838,1.31109,0.89176,0.23461,0.3547,0.20579,1.52868,2.20899,1.39856,0.000501942,0.000501942,0.000501942
20,2379.59,1.50649,1.88117,1.26389,0.86994,0.24814,0.35943,0.20498,1.47124,2.20229,1.37108,0.000490161,0.000490161,0.000490161
21,2464.99,1.48426,1.99595,1.2784,0.63727,0.36189,0.38055,0.19839,1.4992,2.28005,1.37301,0.00047838,0.00047838,0.00047838
22,2554.65,1.45265,1.90234,1.3074,0.63506,0.34006,0.35839,0.19518,1.52956,2.27857,1.40058,0.000466599,0.000466599,0.000466599
23,2635.01,1.50639,1.8844,1.34306,0.64187,0.36959,0.37964,0.20514,1.54125,2.27069,1.42141,0.000454818,0.000454818,0.000454818
24,2719.64,1.4874,1.96609,1.31386,0.66149,0.30959,0.37065,0.21139,1.55396,2.21129,1.45175,0.000443037,0.000443037,0.000443037
25,2812.18,1.44088,1.89972,1.25014,0.84938,0.27569,0.35584,0.20059,1.55048,2.28625,1.41815,0.000431256,0.000431256,0.000431256
26,2899.43,1.5765,1.91794,1.31666,0.85799,0.27914,0.35625,0.19739,1.54494,2.30509,1.40589,0.000419475,0.000419475,0.000419475
27,3031.35,1.55993,1.87339,1.3118,0.86088,0.28086,0.37465,0.20503,1.55643,2.36465,1.40361,0.000407694,0.000407694,0.000407694
28,3155.31,1.54581,1.84536,1.32232,0.85213,0.2981,0.38181,0.20507,1.53387,2.3698,1.38862,0.000395913,0.000395913,0.000395913
29,3272.52,1.53591,1.80122,1.32923,0.8698,0.29769,0.39239,0.20923,1.54223,2.32058,1.39482,0.000384132,0.000384132,0.000384132
30,3405.32,1.60653,1.88173,1.30041,0.89167,0.29799,0.42247,0.22653,1.55454,2.27402,1.40394,0.000372351,0.000372351,0.000372351
31,3513.42,1.56143,1.84223,1.33694,0.71188,0.34363,0.40753,0.2209,1.5272,2.18048,1.39065,0.00036057,0.00036057,0.00036057
32,3589.2,1.49074,1.76617,1.28909,0.71264,0.3421,0.3961,0.21783,1.47811,2.13583,1.34916,0.000348789,0.000348789,0.000348789
33,3646.2,1.51277,1.79381,1.27916,0.69832,0.34687,0.4009,0.21613,1.53903,2.13743,1.36794,0.000337008,0.000337008,0.000337008
34,3696.39,1.50893,1.67614,1.28942,0.68248,0.35996,0.40095,0.21492,1.55592,2.144,1.36871,0.000325227,0.000325227,0.000325227
35,3745.8,1.45632,1.81101,1.32979,0.67912,0.34258,0.38224,0.20247,1.54195,2.15288,1.36659,0.000313446,0.000313446,0.000313446
